Feature,ADNIMERGE Frequency,Gene Expression Frequency,MRI Frequency,Total Frequency,Domain
MRI_792968,0,0,4931,4931,MRI
MRI_793333,0,0,4931,4931,MRI
MRI_793542,0,0,4931,4931,MRI
MRI_724,0,0,4930,4930,MRI
MRI_725,0,0,4930,4930,MRI
MRI_882,0,0,4930,4930,MRI
MRI_988,0,0,4930,4930,MRI
MRI_1012,0,0,4930,4930,MRI
MRI_1067,0,0,4930,4930,MRI
MRI_1085,0,0,4930,4930,MRI
MRI_1205,0,0,4930,4930,MRI
MRI_1263,0,0,4930,4930,MRI
MRI_1288,0,0,4930,4930,MRI
MRI_1346,0,0,4930,4930,MRI
MRI_1462,0,0,4930,4930,MRI
MRI_1522,0,0,4930,4930,MRI
MRI_1544,0,0,4930,4930,MRI
MRI_1613,0,0,4930,4930,MRI
MRI_1847,0,0,4930,4930,MRI
MRI_1925,0,0,4930,4930,MRI
MRI_2054,0,0,4930,4930,MRI
MRI_2247,0,0,4930,4930,MRI
MRI_2278,0,0,4930,4930,MRI
MRI_2334,0,0,4930,4930,MRI
MRI_2366,0,0,4930,4930,MRI
MRI_2374,0,0,4930,4930,MRI
MRI_2406,0,0,4930,4930,MRI
MRI_2430,0,0,4930,4930,MRI
MRI_2539,0,0,4930,4930,MRI
MRI_2555,0,0,4930,4930,MRI
MRI_2647,0,0,4930,4930,MRI
MRI_2666,0,0,4930,4930,MRI
MRI_2731,0,0,4930,4930,MRI
MRI_2827,0,0,4930,4930,MRI
MRI_2998,0,0,4930,4930,MRI
MRI_3013,0,0,4930,4930,MRI
MRI_3096,0,0,4930,4930,MRI
MRI_3103,0,0,4930,4930,MRI
MRI_3161,0,0,4930,4930,MRI
MRI_3211,0,0,4930,4930,MRI
MRI_3316,0,0,4930,4930,MRI
MRI_3409,0,0,4930,4930,MRI
MRI_3461,0,0,4930,4930,MRI
MRI_3701,0,0,4930,4930,MRI
MRI_3716,0,0,4930,4930,MRI
MRI_3750,0,0,4930,4930,MRI
MRI_3855,0,0,4930,4930,MRI
MRI_3877,0,0,4930,4930,MRI
MRI_4114,0,0,4930,4930,MRI
MRI_4228,0,0,4930,4930,MRI
MRI_4322,0,0,4930,4930,MRI
MRI_4330,0,0,4930,4930,MRI
MRI_4433,0,0,4930,4930,MRI
MRI_4455,0,0,4930,4930,MRI
MRI_4475,0,0,4930,4930,MRI
MRI_4771,0,0,4930,4930,MRI
MRI_4888,0,0,4930,4930,MRI
MRI_4924,0,0,4930,4930,MRI
MRI_5025,0,0,4930,4930,MRI
MRI_5183,0,0,4930,4930,MRI
MRI_5185,0,0,4930,4930,MRI
MRI_5397,0,0,4930,4930,MRI
MRI_5869,0,0,4930,4930,MRI
MRI_6083,0,0,4930,4930,MRI
MRI_6215,0,0,4930,4930,MRI
MRI_6234,0,0,4930,4930,MRI
MRI_59,0,0,4930,4930,MRI
MRI_154,0,0,4930,4930,MRI
MRI_241,0,0,4930,4930,MRI
MRI_250,0,0,4930,4930,MRI
MRI_436,0,0,4930,4930,MRI
MRI_504,0,0,4930,4930,MRI
MRI_787259,0,0,4930,4930,MRI
MRI_787275,0,0,4930,4930,MRI
MRI_787354,0,0,4930,4930,MRI
MRI_787418,0,0,4930,4930,MRI
MRI_787506,0,0,4930,4930,MRI
MRI_787636,0,0,4930,4930,MRI
MRI_787663,0,0,4930,4930,MRI
MRI_787842,0,0,4930,4930,MRI
MRI_787888,0,0,4930,4930,MRI
MRI_787922,0,0,4930,4930,MRI
MRI_788025,0,0,4930,4930,MRI
MRI_788058,0,0,4930,4930,MRI
MRI_788141,0,0,4930,4930,MRI
MRI_788281,0,0,4930,4930,MRI
MRI_788355,0,0,4930,4930,MRI
MRI_788432,0,0,4930,4930,MRI
MRI_788761,0,0,4930,4930,MRI
MRI_788887,0,0,4930,4930,MRI
MRI_789043,0,0,4930,4930,MRI
MRI_789082,0,0,4930,4930,MRI
MRI_789282,0,0,4930,4930,MRI
MRI_789462,0,0,4930,4930,MRI
MRI_789720,0,0,4930,4930,MRI
MRI_789977,0,0,4930,4930,MRI
MRI_790128,0,0,4930,4930,MRI
MRI_790254,0,0,4930,4930,MRI
MRI_790336,0,0,4930,4930,MRI
MRI_790375,0,0,4930,4930,MRI
MRI_790405,0,0,4930,4930,MRI
MRI_790775,0,0,4930,4930,MRI
MRI_790971,0,0,4930,4930,MRI
MRI_791120,0,0,4930,4930,MRI
MRI_791327,0,0,4930,4930,MRI
MRI_791902,0,0,4930,4930,MRI
MRI_792104,0,0,4930,4930,MRI
MRI_792189,0,0,4930,4930,MRI
MRI_792427,0,0,4930,4930,MRI
MRI_792535,0,0,4930,4930,MRI
MRI_792547,0,0,4930,4930,MRI
MRI_792607,0,0,4930,4930,MRI
MRI_792766,0,0,4930,4930,MRI
MRI_793079,0,0,4930,4930,MRI
MRI_793298,0,0,4930,4930,MRI
MRI_793408,0,0,4930,4930,MRI
MRI_2,0,0,4930,4930,MRI
MRI_12,0,0,4930,4930,MRI
MRI_760,0,0,4929,4929,MRI
MRI_858,0,0,4929,4929,MRI
MRI_1071,0,0,4929,4929,MRI
MRI_1096,0,0,4929,4929,MRI
MRI_1127,0,0,4929,4929,MRI
MRI_1191,0,0,4929,4929,MRI
MRI_1220,0,0,4929,4929,MRI
MRI_1250,0,0,4929,4929,MRI
MRI_1260,0,0,4929,4929,MRI
MRI_1369,0,0,4929,4929,MRI
MRI_1374,0,0,4929,4929,MRI
MRI_1392,0,0,4929,4929,MRI
MRI_1687,0,0,4929,4929,MRI
MRI_1783,0,0,4929,4929,MRI
MRI_1824,0,0,4929,4929,MRI
MRI_1890,0,0,4929,4929,MRI
MRI_2111,0,0,4929,4929,MRI
MRI_2126,0,0,4929,4929,MRI
MRI_2137,0,0,4929,4929,MRI
MRI_2151,0,0,4929,4929,MRI
MRI_2156,0,0,4929,4929,MRI
MRI_2327,0,0,4929,4929,MRI
MRI_2331,0,0,4929,4929,MRI
MRI_2339,0,0,4929,4929,MRI
MRI_2403,0,0,4929,4929,MRI
MRI_2448,0,0,4929,4929,MRI
MRI_2449,0,0,4929,4929,MRI
MRI_2522,0,0,4929,4929,MRI
MRI_2544,0,0,4929,4929,MRI
MRI_2663,0,0,4929,4929,MRI
MRI_2716,0,0,4929,4929,MRI
MRI_2850,0,0,4929,4929,MRI
MRI_2876,0,0,4929,4929,MRI
MRI_2932,0,0,4929,4929,MRI
MRI_2961,0,0,4929,4929,MRI
MRI_2984,0,0,4929,4929,MRI
MRI_3091,0,0,4929,4929,MRI
MRI_3153,0,0,4929,4929,MRI
MRI_3187,0,0,4929,4929,MRI
MRI_3483,0,0,4929,4929,MRI
MRI_3494,0,0,4929,4929,MRI
MRI_3529,0,0,4929,4929,MRI
MRI_3564,0,0,4929,4929,MRI
MRI_3603,0,0,4929,4929,MRI
MRI_3754,0,0,4929,4929,MRI
MRI_3857,0,0,4929,4929,MRI
MRI_3923,0,0,4929,4929,MRI
MRI_4081,0,0,4929,4929,MRI
MRI_4203,0,0,4929,4929,MRI
MRI_4310,0,0,4929,4929,MRI
MRI_4449,0,0,4929,4929,MRI
MRI_4483,0,0,4929,4929,MRI
MRI_4507,0,0,4929,4929,MRI
MRI_4508,0,0,4929,4929,MRI
MRI_4518,0,0,4929,4929,MRI
MRI_4527,0,0,4929,4929,MRI
MRI_4542,0,0,4929,4929,MRI
MRI_4568,0,0,4929,4929,MRI
MRI_4598,0,0,4929,4929,MRI
MRI_4615,0,0,4929,4929,MRI
MRI_4668,0,0,4929,4929,MRI
MRI_4717,0,0,4929,4929,MRI
MRI_4720,0,0,4929,4929,MRI
MRI_4742,0,0,4929,4929,MRI
MRI_4911,0,0,4929,4929,MRI
MRI_5022,0,0,4929,4929,MRI
MRI_5133,0,0,4929,4929,MRI
MRI_5261,0,0,4929,4929,MRI
MRI_5421,0,0,4929,4929,MRI
MRI_5424,0,0,4929,4929,MRI
MRI_5430,0,0,4929,4929,MRI
MRI_5654,0,0,4929,4929,MRI
MRI_5717,0,0,4929,4929,MRI
MRI_5778,0,0,4929,4929,MRI
MRI_5779,0,0,4929,4929,MRI
MRI_5822,0,0,4929,4929,MRI
MRI_5872,0,0,4929,4929,MRI
MRI_5892,0,0,4929,4929,MRI
MRI_5938,0,0,4929,4929,MRI
MRI_5993,0,0,4929,4929,MRI
MRI_6182,0,0,4929,4929,MRI
MRI_6191,0,0,4929,4929,MRI
MRI_6275,0,0,4929,4929,MRI
MRI_6294,0,0,4929,4929,MRI
MRI_82,0,0,4929,4929,MRI
MRI_87,0,0,4929,4929,MRI
MRI_164,0,0,4929,4929,MRI
MRI_177,0,0,4929,4929,MRI
MRI_289,0,0,4929,4929,MRI
MRI_308,0,0,4929,4929,MRI
MRI_362,0,0,4929,4929,MRI
